Date,Return,,D1,D2,D3,D4,D5
14/06/2012 0:00,-0.001938725,4,0,0,0,1,0
15/06/2012 0:00,0.011345829,5,0,0,0,0,1
18/06/2012 0:00,0.017409465,1,1,0,0,0,0
19/06/2012 0:00,-0.001150166,2,0,1,0,0,0
20/06/2012 0:00,0.008420232,3,0,0,1,0,0
21/06/2012 0:00,-0.007606619,4,0,0,0,1,0
22/06/2012 0:00,-0.007861513,5,0,0,0,0,1
25/06/2012 0:00,-0.00773819,1,1,0,0,0,0
26/06/2012 0:00,-0.003977786,2,0,1,0,0,0
27/06/2012 0:00,0.00629564,3,0,0,1,0,0
28/06/2012 0:00,-0.001867242,4,0,0,0,1,0
29/06/2012 0:00,0.017513359,5,0,0,0,0,1
2/07/2012 0:00,0.006677014,1,1,0,0,0,0
3/07/2012 0:00,0.009916376,2,0,1,0,0,0
4/07/2012 0:00,0.000570042,3,0,0,1,0,0
5/07/2012 0:00,-0.004700777,4,0,0,0,1,0
6/07/2012 0:00,-0.002600904,5,0,0,0,0,1
9/07/2012 0:00,-0.007988554,1,1,0,0,0,0
10/07/2012 0:00,-0.008050125,2,0,1,0,0,0
11/07/2012 0:00,0.000904258,3,0,0,1,0,0
12/07/2012 0:00,-0.017650245,4,0,0,0,1,0
13/07/2012 0:00,-0.003745671,5,0,0,0,0,1
16/07/2012 0:00,-0.002005027,1,1,0,0,0,0
17/07/2012 0:00,0.005199401,2,0,1,0,0,0
18/07/2012 0:00,-0.01099756,3,0,0,1,0,0
19/07/2012 0:00,0.014019484,4,0,0,0,1,0
20/07/2012 0:00,0.002251111,5,0,0,0,0,1
23/07/2012 0:00,-0.019157391,1,1,0,0,0,0
24/07/2012 0:00,-0.002903723,2,0,1,0,0,0
25/07/2012 0:00,-0.004178059,3,0,0,1,0,0
26/07/2012 0:00,-0.001210043,4,0,0,0,1,0
27/07/2012 0:00,0.02182397,5,0,0,0,0,1
30/07/2012 0:00,0.00481535,1,1,0,0,0,0
31/07/2012 0:00,0.015470194,2,0,1,0,0,0
1/08/2012 0:00,-0.00034808,3,0,0,1,0,0
3/08/2012 0:00,-0.006965656,5,0,0,0,0,1
6/08/2012 0:00,0.009490015,1,1,0,0,0,0
7/08/2012 0:00,0.001252231,2,0,1,0,0,0
8/08/2012 0:00,0.003330747,3,0,0,1,0,0
9/08/2012 0:00,0.015440764,4,0,0,0,1,0
10/08/2012 0:00,0.000997649,5,0,0,0,0,1
13/08/2012 0:00,-0.000648004,1,1,0,0,0,0
14/08/2012 0:00,0.005759132,2,0,1,0,0,0
15/08/2012 0:00,-0.001540078,3,0,0,1,0,0
16/08/2012 0:00,0.003004388,4,0,0,0,1,0
17/08/2012 0:00,-0.002980327,5,0,0,0,0,1
20/08/2012 0:00,-0.00483359,1,1,0,0,0,0
21/08/2012 0:00,0.010027704,2,0,1,0,0,0
22/08/2012 0:00,-0.001363689,3,0,0,1,0,0
23/08/2012 0:00,0.001145179,4,0,0,0,1,0
24/08/2012 0:00,-0.003689611,5,0,0,0,0,1
27/08/2012 0:00,-0.001245782,1,1,0,0,0,0
28/08/2012 0:00,-0.014333236,2,0,1,0,0,0
29/08/2012 0:00,0.003959848,3,0,0,1,0,0
30/08/2012 0:00,-0.00267026,4,0,0,0,1,0
31/08/2012 0:00,0.003469566,5,0,0,0,0,1
3/09/2012 0:00,0.00720251,1,1,0,0,0,0
4/09/2012 0:00,0.000110095,2,0,1,0,0,0
5/09/2012 0:00,-0.011324953,3,0,0,1,0,0
6/09/2012 0:00,-0.005542315,4,0,0,0,1,0
7/09/2012 0:00,0.013312616,5,0,0,0,0,1
10/09/2012 0:00,0.007758482,1,1,0,0,0,0
11/09/2012 0:00,0.000319304,2,0,1,0,0,0
12/09/2012 0:00,0.011334167,3,0,0,1,0,0
13/09/2012 0:00,0.001102313,4,0,0,0,1,0
14/09/2012 0:00,0.020794843,5,0,0,0,0,1
17/09/2012 0:00,0.003118711,1,1,0,0,0,0
18/09/2012 0:00,-0.003608623,2,0,1,0,0,0
19/09/2012 0:00,0.006142049,3,0,0,1,0,0
20/09/2012 0:00,-0.007009989,4,0,0,0,1,0
21/09/2012 0:00,0.003493066,5,0,0,0,0,1
