Date,Adj Close,SMA_20,SMA_50,Long or Short,Return,Strategy1,Strategy2,Strategy3,Strategy4
2/01/2012 0:00,6952.178468,6950.061973,7172.912487,-1,-0.017095059,0,0,0.017095059,0.017095059
3/01/2012 0:00,7053.347931,6942.768501,7162.550737,-1,0.014447329,0,0,-0.014447329,-0.014447329
4/01/2012 0:00,7082.938129,6947.623483,7153.794175,-1,0.004186424,0,0,-0.004186424,-0.004186424
5/01/2012 0:00,7130.827561,6950.121983,7144.737224,-1,0.006738484,0,0,-0.006738484,-0.006738484
6/01/2012 0:00,7120.47751,6957.519947,7136.050262,-1,-0.001452506,0,0,0.001452506,0.001452506
9/01/2012 0:00,7093.007908,6968.880394,7126.139301,-1,-0.003865292,0,0,0.003865292,0.003865292
10/01/2012 0:00,7178.837597,6976.080361,7116.246348,-1,0.012027978,0,0,-0.012027978,-0.012027978
11/01/2012 0:00,7188.177399,6990.2083,7107.383595,-1,0.001300173,0,0,-0.001300173,-0.001300173
12/01/2012 0:00,7186.547523,7003.490247,7099.178827,-1,-0.00022677,0,0,0.00022677,0.00022677
13/01/2012 0:00,7181.507507,7024.589663,7093.704252,-1,-0.000701559,0,0,0.000701559,0.000701559
16/01/2012 0:00,7103.587938,7044.412083,7085.270492,-1,-0.01090932,0,0,0.01090932,0.01090932
17/01/2012 0:00,7221.047367,7067.926479,7074.908537,-1,0.016400007,0,0,-0.016400007,-0.016400007
18/01/2012 0:00,7233.657173,7095.848349,7067.314372,1,0.001744734,0.001744734,0,0,0.001744734
30/01/2012 0:00,7407.376601,7109.208787,7060.751003,1,0.0237316,0.0237316,0,0,0.0237316
31/01/2012 0:00,7517.046026,7131.26169,7062.725594,1,0.014696903,0.014696903,0.014696903,0.014696903,0.014696903
1/02/2012 0:00,7549.175763,7151.579103,7065.721381,1,0.004265142,0.004265142,0,0,0.004265142
2/02/2012 0:00,7652.425296,7174.410493,7066.19258,1,0.013584243,0.013584243,0,0,0.013584243
