Date,Adj Close,SMA_20,SMA_50,Return,Strategy1,Strategy4
2/01/2012 0:00,50.17975,49.1840435,49.091435,0,0,0
3/01/2012 0:00,50.17975,49.205228,49.1761774,0,0,0
4/01/2012 0:00,50.17975,49.292997,49.2258122,0,0,0
5/01/2012 0:00,50.17975,49.341421,49.2560774,0,0,0
6/01/2012 0:00,50.78509,49.3807665,49.2802894,0.011991249,0.011991247,0.011991249
9/01/2012 0:00,51.0272,49.507881,49.3069234,0.004756016,0.00475621,0.004756016
10/01/2012 0:00,52.29835,49.5805165,49.31903,0.024605998,0.024605792,0.024605998
11/01/2012 0:00,52.17725,49.728815,49.3129766,-0.002318246,-0.002318248,-0.002318246
12/01/2012 0:00,52.41945,49.858953,49.3045012,0.00463113,0.004631327,0.00463113
13/01/2012 0:00,51.57199,50.095025,49.3383994,-0.01629901,-0.016299004,-0.01629901
16/01/2012 0:00,50.54297,50.252406,49.3456638,-0.02015483,-0.020155017,-0.02015483
17/01/2012 0:00,52.66157,50.4249165,49.3384012,0.041062102,0.04106228,0.041062102
18/01/2012 0:00,53.08525,50.697306,49.3722994,0.008013144,0.008013137,0.008013144
19/01/2012 0:00,53.08525,50.854687,49.4340408,0,0,0
20/01/2012 0:00,53.08525,51.027197,49.5381542,0,0,0
23/01/2012 0:00,53.08525,51.172472,49.603527,0,0,0
24/01/2012 0:00,53.08525,51.329853,49.6507412,0,0,0
25/01/2012 0:00,53.08525,51.4963125,49.7136936,0,0,0
26/01/2012 0:00,53.08525,51.6536935,49.7826976,0,0,0
27/01/2012 0:00,53.08525,51.7989685,49.8529128,0,0,0
30/01/2012 0:00,56.77758,51.9442435,49.9449194,0.067242418,0.067242378,0.067242418
31/01/2012 0:00,57.68559,52.274135,50.1337734,0.015865873,0.015865869,0.015865873
1/02/2012 0:00,57.62504,52.649427,50.348052,-0.001050207,-0.001050208,-0.001050207
2/02/2012 0:00,58.53296,53.0216915,50.5901738,0.015632819,0.015632808,0.015632819
3/02/2012 0:00,59.07775,53.439352,50.8407692,0.009264359,0.009264355,0.009264359
6/02/2012 0:00,56.89869,53.853985,51.1058918,-0.037582055,-0.037582209,-0.037582055
7/02/2012 0:00,58.89618,54.1475595,51.3008012,0.034503915,0.034504072,0.034503915
8/02/2012 0:00,61.43847,54.477451,51.5187112,0.042259953,0.042259933,0.042259953
9/02/2012 0:00,62.64906,54.940512,51.7826246,0.019512491,0.01951248,0.019512491
10/02/2012 0:00,61.74114,55.4519925,52.0332202,-0.014598194,-0.014598184,-0.014598194
13/02/2012 0:00,62.04372,55.96045,52.277764,0.004888814,0.004888806,0.004888814
14/02/2012 0:00,61.1358,56.5354875,52.5235172,-0.014741679,-0.014741668,-0.014741679
15/02/2012 0:00,62.64906,56.959199,52.7777458,0.024451058,0.024451046,0.024451058
16/02/2012 0:00,61.74114,57.4373895,53.0465016,-0.014598194,-0.014598184,-0.014598194
17/02/2012 0:00,61.43847,57.870184,53.2934676,-0.004914297,-0.004914296,-0.004914297
20/02/2012 0:00,60.34889,58.287845,53.557381,-0.017893632,-0.017893625,-0.017893632
21/02/2012 0:00,58.59351,58.651027,53.772869,-0.029518615,-0.0295186,-0.029518615
22/02/2012 0:00,59.07775,58.92644,53.9580916,0.008230433,0.008230429,0.008230433
23/02/2012 0:00,58.77508,59.226065,54.1481568,-0.005136417,-0.005136416,-0.005136417
24/02/2012 0:00,59.92521,59.5105565,54.3696982,0.019379329,0.019379323,0.019379329
27/02/2012 0:00,59.92521,59.8525545,54.599715,0,0,0
28/02/2012 0:00,59.92521,60.009936,54.856364,0,0,0
29/02/2012 0:00,62.04372,60.121917,55.1105926,0.034742013,0.034741991,0.034742013
1/03/2012 0:00,62.04372,60.342851,55.3527144,0,0,0
2/03/2012 0:00,62.04372,60.518389,55.6008878,0,0,0
5/03/2012 0:00,60.83313,60.6666875,55.8381672,-0.019704756,-0.019704745,-0.019704756
6/03/2012 0:00,60.40944,60.8634095,56.0560772,-0.006989158,-0.006989152,-0.006989158
